,异常类型,异常类型细项,问题现象,故障组件,形成原因,形成原因细类,原因分析,故障处理过程
405,信息系统运行异常,系统部分功能非计划不可用,4月12日10:44，协同办公一级部署福建、甘肃、安徽、重庆等公司出现多个domino节点无法访问，同时接到7186申告多家网省公司协同办公首页打开缓慢。11:40，运检重启zookeeper服务与浙江solr服务，13:02，经7186验证用户访问恢复正常。,应用软件,运行维护不当,程序间通信异常,Zookeeper服务与浙江Solr服务间通信接口异常，导致浙江所在的Search分区1因Solr无法正常返回查询结果造成线程拥堵，进而导致该Search分区的16家单位的Domino服务因请求Search服务时间过长而响应缓慢。,"经运检中心逐个重启Zookeeper服务和浙江两个Solr服务节点，浙江Solr与Zookeeper服务通信接口恢复正常，各Domino服务自动恢复正常,系统功能正常。"
406,信息系统运行异常,系统部分功能非计划不可用,6月30日07:05，国网信通调度监控发现电子商务平台数据库监控报错，使用测试账号登录系统时发现无法正常登录。7:45，经运检中心清理归档日志后，系统登录恢复正常,数据库软件,运行维护不当,归档空间满,数据库归档空间不足，造成redo日志无法写入，数据库无法进行大日志文件写入操作，测试帐号登陆时需要申请数据库连接、写入登录记录等大量数据库操作，因此部分时段测试帐号无法登录。新网管系统对于ASM磁盘组使用率的告警级别设置低，故未报警。,清理数据库归档空间后，数据库恢复，测试帐号可以登录。
407,信息系统运行异常,网络非计划停运,"1、3月30日8:40，国网信通调度接用户申告，西单、银座、英大集团、祥龙商务大厦无法访问外网邮件系统。9:00，国网信通调度接电子商务平台业务运维申告，物资部、物资公司、部分供应商用户间歇性无法打开外网电子商务平台系统页面。14:00，国网信通调度接英大人寿、物资公司用户申告外网邮件系统及电子商务平台外网页面无法访问。
",网络,运行维护不当,运营商网络问题,"故障原因为，为解决移动用户无法访问能源互联网APP，运检中心关闭飞华出口，联通出口流量基本饱和，导致用户访问出现堵塞，经运检中心重新开启飞华出口，9:15，运检中心重新开启飞华出口，系统访问恢复正常。17:11，飞华公司调整网络策略，对发布给亦庄出口的路由进行过滤，只保留电信本地始发的路由，不发布移动的路由后，经与用户验证，外网邮件及电子商务平台系统访问恢复正常。
",关闭问题出口
408,信息系统监控接口异常,不影响用户使用但系统有告警,7月16日14:20，国网信通调度监控发现总部云终端系统IMS健康运行时长及在线用户数指标中断。15:20，经运检中心重启IMS接口服务后，指标恢复正常。,应用软件,运行维护不当,归档空间满,10.1.161.7服务器上接口软件为tomcat，因长时间运行导致IMSDataPickerService服务与IMSCallPSService服务运行时产生日志过多，服务卡死，不能正常返回IMS指标数据，IMS未调用10.1.161.8进行切换，导致IMS指标中断。,重启10.1.161.7上的tomcat软件后，IMS访问正常且返回结果。
409,信息系统运行异常,不影响用户使用但系统有告警,8月9日10:55-11:20，国网安徽电力交易2.0系统监控状态异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常。,未查清,运行维护不当,原因不详细,经查，故障原因为应用节点内存溢出，经重启应用节点后，系统探测指标恢复正常。,0
410,信息系统运行异常,不影响用户使用但系统有告警,"3月1日10:15起，国网信通调度监控发现电子商务平台健康运行时长及在线用户数指标缺失，URL探测正常。
",应用软件,运行维护不当,线程满,2月29日至3月4日进行大规模评标，系统数据库IO负载高，导致IMS取数异常。,数据库IO负载下降后，系统自动恢复正常。
411,信息系统运行异常,IMS系统数据接口非计划中断,5月12日20:50-21:15，国网河南电力营销应用系统监控状态异常。期间，系统在线用户数及健康运行时长指标异常,数据库软件,运行维护不当,响应慢,经查，由于系统当时正在运行银电联网批扣、费控算费定时业务，后台运行数据库业务数据统计工作任务，数据库瞬时负载较大，反应速度较慢，导致营销业务应用系统向I6000交互认证接口受到了影响。及时调整和停止系统部分任务执行后，系统指标恢复正常。,0
412,信息系统运行异常,网络非计划停运,12月16日11:13，国网信通调度接客服中心申告，北京联通用户无法通过域名访问95598智能互动网站，移动电信用户访问正常。,网络,外部原因,运营商网络问题,经运检中心排查，故障由于北京联通运营商侧DNS解析异常导致。14:45，北京联通公司完成排查处置。15:05，经客服中心验证，系统访问恢复正常。,
413,信息系统运行异常,网络非计划停运,4月1日18:55-20:35国网英大证券ERP系统监控状态异常，期间，系统URL探测、健康运行时长及在线用户数指标中断。,网络,运行维护不当,运营商网络问题,"经查，由于中电飞华对国网信息中心机房电源改造,影响英大证券运行的线路，导致英大证券与国网级联中断，从而造成ERP和协同办公系统IMS各项指标异常。经手动切换至备份线路后，系统各项指标恢复正常。",手动切换至备份线路
414,信息系统运行异常,系统部分功能非计划不可用,6月22日12:55，国网信通调度接到技术中心申告，用户登录国网公司软视频系统建立软视频会议后，参会单位无法正常进入会议。13:40，运检中心完成故障节点重启，13:55，经技术中心验证，系统恢复正常。,网络,运行维护不当,原因不清,无报告,
415,信息系统运行异常,不影响用户使用但系统有告警,8月17日15:25，国网信通调度监控发现总部安监管理一体化系统IMS在线用户数和健康运行时长指标中断，URL探测正常。15:55，经运检中心重启故障节点后，系统监控指标恢复正常。,应用软件,软件设计缺陷原因,SQL语句不合理,某些代码没有正确关闭数据库连接，造成一个应用节点的weblogic数据库连接池被占满，无法创建新的连接，引起指标中断。,重启故障应用节点后，系统恢复正常。
416,信息系统运行异常,部分用户非计划不可用,2016年1月13日9:00，国网信通调度接业务运维申告福建、浙江、江西、蒙东公司登陆协同办公系统后，电子公告会议视图加载较慢。10:53，重启搜索服务后，经业务运维验证系统恢复正常。,应用软件,运行维护不当,线程满,"甘肃2个Solr服务节点挂起，造成甘肃公司Search服务进程停滞，同时各区域Search进程堆积，全网用户访问系统受到影响。
甘肃Solr节点故障原因为公文自动归档任务量大，造成甘肃Solr节点服务出现碎片，进而导致Solr服务节点异常。",重启Search服务、Solr服务等操作后，系统恢复正常。
417,信息系统运行异常,不影响用户使用但系统有告警,9月9日10:25，国网信通调度监控发现总部一体化规划设计平台健康运行时长和在线用户数指标缺失，URL探测指标异常。10:50，经运检中心重启应用节点后，系统指标恢复正常。,数据库软件,运行维护不当,线程满,9日各网省集中上报数据，系统未做分批处理，导致当用户对数据表进行大量数据更新时出现数据库线程堵塞，进而导致应用节点线程堵塞，IMS监控指标与探测中断。,运检中心重启应用节点后，系统指标恢复正常。
418,信息系统运行异常,不影响用户使用但系统有告警,6月8日05:40，国网信通调度监控发现北京、蒙东、冀北、浙江、河南等部分网省的所有系统IMS健康运行时长及在线用户数指标异常，URL探测异常。,数据库软件,软件设计缺陷原因,数据表索引设计不合理,ims数据库中，存放省公司服务器内存信息的表主键索引存在逻辑坏块，导致数据插入失败，造成IMS级联数据入库程序异常。,创建新表及索引后，系统插入数据恢复正常。
419,信息系统运行异常,IMS系统数据接口非计划中断,4月8日9:50-11:30、14:50-16:35国网信通调度监控发现电子商务平台IMS健康运行时长及在线用户数指标间歇性缺失，URL探测正常。,数据库软件,软件设计缺陷,SQL语句不合理,经查，故障原因为数据库sql语句执行效率低，同时网线问题造成网卡速率自适应为百兆，引起心跳网数据传输延时，造成数据库负载过高，导致IMS指标中断。4月9日00:00-06:00期间，通过紧急抢修更换网线后，网卡速率已恢复正常。后续将组织开展代码升级解决数据库语句的问题。,0
420,信息系统运行异常,系统部分功能非计划不可用,3月26日9:25-10:05，国网四川电力所有系统监控异常。期间，所有系统的IMS健康运行时长、在线用户数和URL探测指标中断，I6000系统指标异常。,主机,运行维护不当,内存配置不合理,"期间，所有系统的IMS健康运行时长、在线用户数和URL探测指标中断，I6000系统各指标均正常。经查，由于I6000割接初期应用服务器内存设置不足，导致I6000转发工具内存溢出停止转发数据，重启转发程序后系统恢复正常。后续四川公司将于4月5日统一检修时，增加I6000服务器运行内存，同时I6000项目组根据实施要求进行对转发工具进行升级调优。
",增加内存
421,信息系统运行异常,系统部分功能非计划不可用,4月4日23:10-23:40，国网信通调度监控发现国网陕西电力所有系统监控状态异常。期间，所有系统健康运行时长及在线用户数指标中断，URL探测异常,数据库软件,软件设计缺陷,不释放数据库连接,"经查故障原因为IMSV3定时任务中运行特殊SQL语句造成大量进程GC buffer busy等待事件，且，IMS每整点采集各业务系统登录用户明细数据，并对大对象（LOB）表PERFORMANCEDBA.BSLOGINROLL5MIN 
进行批量操作，造成多个进程等待响应，多进程资源争用，数据库进程互锁不断增多，数据库整体性能逐渐降低，两个数据库实例上IMS各业务进程严重积压，最终造成数据库夯死，总线服务数据无法入库，IMS指标全面报红。重启数据库结点1和结点2，系统指标恢复正常。
",重启数据节点
422,信息系统运行异常,信息系统侧IMS接口非计划不可用,2月9日00:10-01:25，国网信通调度监控发现国网北京公司外网网站系统监控状态异常。期间，系统IMS健康运行时长监控指标异常，URL探测正常。,应用软件,运行维护不当,检修操作不当,外网网站检修程序包存在问题,检修回退后，系统指标恢复正常。
423,信息系统监控接口异常,不影响用户使用但系统有告警,8月3日2:00-3:15，国网信通调度监控发现南瑞所有系统监控异常。期间，所有URL探测异常，其中ERP、协同办公和财务管控健康运行时长与在线用户数指标缺失，所有系统均可正常访问。经重启南瑞IMS总线接口服务器后，探测及指标恢复正常,网络,运行维护不当,不释放数据库连接,期间，系统URL探测异常，其中ERP、协同办公和财务管控健康运行时长与在线用户数指标缺失，所有系统均可正常访问。经查，故障原因为IMS接口服务器存在大量TCP会话连接未释放，导致端口被占用，IMS程序接口运行异常，导致指标中断。,
424,信息系统监控接口异常,信息系统监控指标短时中断,1月10日06:10-06:40，国网新疆电力营销辅助决策系统监控状态异常。期间，健康运行时长及在线用户数指标缺失，URL探测正常。,数据库软件,运行维护不当,线程满,故障原因为北塔网管系统新增监测模块，与营销辅助决策数据库建立大量连接，导致会话服务被占满,通过结束会话连接，修改数据库连接配置后，系统监控状态恢复正常
425,信息系统运行异常,系统部分功能非计划不可用,8月14日02:05，国网信通调度监控发现舆情监测系统IMS在线用户数指标中断，健康运行时长及URL探测正常，系统可正常访问。05:00，经运检中心应急处置后，系统监控指标恢复正常。,数据库软件,运行维护不当,数据库表空间满,舆情系统数据库System系统表空间满，造成应用无法正常连接数据库，导致IMS在线用户数指标异常。,经运检中心对System表空间扩容后，系统监控指标恢复正常。
426,信息系统运行异常,不影响用户使用但系统有告警,"7月24日10:50-12:05，国网福建电力外网网站I6000外网网站监控异常,国网福建电力外网网站I6000健康运行时长及URL探测异常。",网络,操作不当等问题,检修操作不当,国网福建电力外网网站I6000健康运行时长及URL探测异常。经查原因为：检修导致JMSConfig.properties配置参数缺失未配置，内外网各节点服务日志及配置分析内网PASSendServer转数服务日志抛空指针异常，且异常时间段查询临时表无数据，导致间断性监测异常,
427,信息系统运行异常,不影响用户使用但系统有告警,4月22日20:05-20:45，国网河南电力应急管理系统监控状态异常。期间，系统健康运行时长及在线用户数指标中断，URL探测正常,数据库软件,运行维护不当,线程满,经查原因为应急指挥系统将于2016年5月4日下线，目前正在进行系统下线前的准备工作，对数据进行迁移，因数据量大，对老旧的交换机处理数据造成较大压力，从而造成网络传输丢包，导致指标异常。关闭应急指挥系统数据迁移服务，重启服务后I6000发送指标服务恢复正常。,0
428,信息系统运行异常,不影响用户使用但系统有告警,5月30日20:10-5月31日4:24，国网辽宁电力外网网站系统监控状态异常。期间，系统健康运行时长指标缺失，探测异常,主机,设备日常损坏,硬盘,故障原因为由于存储中外网门户使用的DISKGROUP中同时出现了两块硬盘损坏问题，外网网站所划分的磁盘采用的VRAID5模式，在出现两块硬盘同时损坏后，该磁盘已经崩溃，数据丢失，导致系统异常。重新部署外网网站系统，并利用备份数据进行恢复后，系统指标恢复正常。,0
429,信息系统运行异常,不影响用户使用但系统有告警,4月27日8:30-9:20，国网华中分部企业门户、内网网站系统监控状态异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常,网络,设备日常损坏,网卡故障,经查，故障原因为系统主节点设备故障导致对外提供服务并独占共享存储文件，造成备用节点无法进行存储文件日志写入，节点夯死。重启主备节点释放资源后，探测恢复正常。,0
430,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,1月21日16:55-17:10，国网英大传媒ERP系统监控状态异常。期间，系统在线用户数指标中断，健康运行时长指标正常。,主机,软件设计缺陷,SQL语句不合理,程序功能设计不够完善导致用户操作时由于某个业务数据输入不符合规范而产生的错误。,0
431,信息系统运行异常,不影响用户使用但系统有告警,7月6日07:50-08:40，国网陕西电力所有系统监控异常。期间，所有系统URL探测异常，健康运行时长指标及在线用户数指标异常。,主机,运行维护不当,cpu负载高,经查，近期因I6000系统建设和实用化需要，各单位对设备台帐进行集中维护，台账导入导出操作频繁，导致10.208.103.102服务器的内存和CPU负载过高，I6000系统向IMS总线转发数据的程序接口PASSendServer程序响应缓慢，进而导致IMS系统未能及时接收到I6000的数据，指标数据出现短暂中断。,0
432,信息系统运行异常,不影响用户使用但系统有告警,5月11日2:30-2:50，国网信通调度监控发现国网信通、交流、经研、南瑞、中科、传媒、高培、装备、技术学院等直属单位企业门户系统的IMS健康运行时长及在线用户数指标缺失，URL探测正常。,数据库软件,运行维护不当,响应慢,日数据查询的部分表数据量较大（超过400万条），查询时间很长，且数据库执行备份任务，引起数据库性能下降。日数据获取对直属单位取数接口服务产生压力，导致ims连接超时。,0
433,信息系统运行异常,信息系统侧IMS接口非计划不可用,3月1日10:20-10:35，国网安徽电力所有系统监控状态异常。期间，健康运行时长及在线用户数指标正常，URL探测异常。,应用软件,软件设计缺陷,代码逻辑缺陷,执行I6000探测服务器对时检修后，引起服务器因NTP对时产生时间跳变，致使探测信息无法入库,重启探测服务后指标恢复
434,信息系统运行异常,系统部分功能非计划不可用,"2月24日17:18，国网信通调度监控发现10.1.17.19和10.1.17.17服务器无法ping通，导致IDS、财务管控标准流程、国网标准化管控信息系统无法访问。
",主机,设备日常损坏,主板故障,17.19服务器因主板故障宕机，17.17服务器因业务负荷过大自动重启。,重启10.1.17.17服务器并重启IDS、财务流程系统、国网标准化管控信息系统应用服务后，系统可以使用。23:18，更换10.1.17.19服务器主板后，服务器重启成功。截至29日22:00，系统恢复主备方式运行。
435,信息系统运行异常,系统部分功能非计划不可用,3月7日13:05-13:40，国网信通调度监控发现国网中电装备协同办公系统监控异常。期间，系统健康运行时长和在线用户数指标中断，URL探测正常,应用软件,运行维护不当,节点自动重启,经查，故障原因为部署IMS报送服务的服务器操作系统自动重启，导致部署在上面的服务被关闭，引起指标中断，手动启动后，系统指标恢复正常。,手动启动后，系统指标恢复正常。
436,信息系统接口异常,系统告警但不影响用户使用,9月30日16:45，国网信通调度监控发现总部科技管理系统IMS健康运行时长及在线用户数指标中断，URL探测正常。17:20，经调度重启故障节点后，系统监控指标恢复正常。,数据库,运行维护不当,代码逻辑缺陷,经查，具体原因为系统中导出功能执行过程中连接不释放，导致应用在申请数据库连接时无可用连接，造成应用异常。,
437,信息系统运行异常,不影响用户使用但系统有告警,1月22日17:45，国网信通调度监控发现总部政工管理系统IMS健康运行时长及在线用户数指标缺失，URL探测正常。18:05，监控指标自动恢复正常,数据库软件,软件设计缺陷,SQL语句不合理,用户频繁点击党组织党员统计查询页面，该页面数据量大、查询语句复杂、查询历时时间较长，导致数据库响应缓慢，进而导致webloigc数据库连接池满，应用程序访问数据库超时。,监控指标自动恢复正常。
438,信息系统运行异常,部分用户非计划不可用,"1月3日8:29，国网信通调度监控发现总部松耦合服务器（10.1.17.2）ping不通，其上部署的安全监察系统、经济法律系统、离退休管理系统、工会综合管理系统、总部远程培训系统、安全监督管理系统和国网青年系统单节点无法访问，另外经济法律系统IMS监控指标异常。
",主机,运行维护不当,内存溢出,"HP DL580G5服务器微码版本为08年版本。服务器内存为2G内存和4G内存混合使用情况，内存不同型号混合使用可能导致兼容性和稳定性问题。
",重启各应用服务后，系统恢复正常。
439,信息系统运行异常,系统部分功能非计划不可用,3月15日12:00-12:35，国网上海公司TMS系统监控状态异常。期间，系统URL探测指标中断，在线用户数与健康运行时长指标正常。,主机,软件设计缺陷,操作系统,经查，故障原因为深信服负载均衡软件版本存在bug，造成设备CPU利用率接近100%，引起探测指标中断，设备自动重启后指标恢复。,重启恢复
440,信息系统监控接口异常,不影响用户使用但系统有告警,"1月17日21:20-21:50，22:30-23:05,国网北京公司营销应用系统监控状态异常。期间，健康运行时长与在线用户数指标中断，URL探测正常",应用软件,软件设计缺陷,操作系统,经vmware400技术支持确认为触发vmware esxi5的内部BUG导致,节点重启
441,信息系统运行异常,不影响用户使用但系统有告警,"4月8日9:10，国网信通调度监控发现全国统一电力市场系统IMS健康运行时长及在线用户数指标缺失，URL探测正常。
",应用软件,运行维护不当,进程异常,开发平台UAP缺陷，定时进程hang住，无法向数据库写入数据，IMS向数据库取数时，无法找到数据（Data not found）报错。,重启定时进程后，IMS指标恢复。
442,信息系统监控接口异常,IMS数据级联贯通非计划中断,1月1日02:00-03:55，国网华中分部数据交换系统监控状态异常。期间，健康运行时长及在线用户数指标中断，URL探测正常。,网络,设备日常损坏,交换机,故障原因为接入交换机设备端口部件老化，与数据交换接口服务器相连的接口down,通过更换交换机后系统恢复正常
443,信息系统运行异常,不影响用户使用但系统有告警,16:55，国网信通调度监控发现总部电能质量系统IMS健康运行时长及在线用户数指标缺失，URL探测指标异常。17:40，经运检中心重启应用节点，监控指标恢复正常。,数据库软件,软件设计缺陷,SQL语句不合理,数据库两个定时任务的SQL语句存在两张大表间的嵌套循环，资源消耗较高，引发数据库性能下降并出现夯死状态，应用服务请求堆积，服务异常。,kill掉数据库会话进程，中断定时任务，并重启应用服务后系统恢复正常。
444,信息系统运行异常,信息系统侧IMS接口非计划不可用,"7月8日10:46，国网信通调度接到7186申告，部分用户使用品牌建设系统上传、下载附件缓慢。11:30，经运检中心重启非结构化缓慢节点后，16:35，经用户验证，系统恢复正常。
",主机,运行维护不当,响应慢,随着业务系统不断地接入平台及二级部署的系统转一级部署，总部非结构化平台高峰期业务量不断上升，业务高峰时段系统I/O缓慢，导致非结构化文件读写响应缓慢。,重启非结构化缓慢节点后，系统恢复正常。
445,信息系统运行异常,系统部分功能非计划不可用,6月6日9:29，国网信通调度监控接7186申告，“冀北公司使用一级部署协同办公督察督办、会议管理、电子公告模块时无法找到页面”。9:35，运检中心完成冀北公司相关domino节点部分个性化元素替换，9:55，7186反馈系统恢复正常。,应用软件,运行维护不当,检修操作不当,经查，故障原因为6月5日开展批量更新Domino设计元素的检修时，冀北公司Domino未能成功更新，造成冀北公司设计元素不完整，功能模块无法正常使用，且由于检修时冀北公司现场运维人员未进行充分验证，导致检修时未及时发现异常。,"运检中心完成冀北公司相关domino节点部分个性化元素替换，系统恢复正常。
"
446,信息系统运行异常,系统非计划停运,7月21日18:40-19:00，国网华北分部TMS系统监控状态异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常,主机,运行维护不当,原因不详细,经查，故障原因为应用服务器异常宕机，重启服务器后，系统探测恢复正常。,0
447,信息系统运行异常,信息系统侧IMS接口非计划不可用,3月14日15:35起，国网信通调度监控发现经法一级部署系统IMS健康运行时长及在线用户数指标间歇性缺失，URL探测正常。17:55，监控指标自动恢复正常。截止21:54，经观察，IMS监控运行正常,应用软件,软件设计缺陷,代码逻辑缺陷,经查，故障原因为，经法系统规章制度导出功能存在缺陷，用户执行规章制度导出功能时线程堵塞，造成IMS监控指标中断。,0
448,信息系统运行异常,不影响用户使用但系统有告警,7月13日18:40-20:20，国网吉林电力TMS系统监控状态异常。期间，系统URL探测指标异常，健康运行时长与在线用户数指标正常。,主机,运行维护不当,内存溢出,经查，故障原因为服务器内存负载过高，探测服务JVM参数设置较小，造成程序内存溢出，导致探测服务出现异常。重新配置探测服务程序的JVM参数，并重新启动探测服务后系统恢复正常。,重新配置探测服务程序的JVM参数，并重新启动探测服务后系统恢复正常。
449,信息系统运行异常,部分用户非计划不可用,2月19日9:40，国网信通调度接河北、蒙东公司申告，部分用户登录知识管理系统异常。11:31，7186申告，部分用户访问总部协同办公系统运行缓慢。,数据库软件,运行维护不当,线程满,经查，故障原因为每月20日为知识管理系统登录率考核截止日，19日用户集中登录知识管理系统，导致数据库响应缓慢。因与总部协同办公系统共用数据库，故造成7186申告11:31总部协同办公系统运行缓慢。17:30，访问知识管理用户数下降后，系统访问恢复正常。（该故障与2月19日11:31协同办公故障属于同一原因，已合并反馈）,自行恢复
450,信息系统运行异常,不影响用户使用但系统有告警,3月18日15:15，国网信通调度监控发现非结构化系统IMS健康运行时长及在线用户数指标正常，URL探测异常。15:20，指标自动恢复正常。,应用软件,运行维护不当,响应慢,系统短时间内存在大量文件读写操作，造成内容库服务响应缓慢，应用节点调用内容库服务接口超时，导致探测异常。,指标自动恢复正常。
451,信息系统运行异常,不影响用户使用但系统有告警,8月24日18:40-19:10，国网安徽电力所有系统监控状态异常。期间，所有系统健康运行时长及在线用户数指标缺失，URL探测异常。安徽本地所有系统监控状态正常。,主机,运行维护不当,内存配置不合理,"期间，所有系统健康运行时长及在线用户数指标缺失，URL探测异常。安徽本地所有系统监控状态正常，经查故障原因为，由于近期国网财务部要求，最近安徽省电力公司正在统一开展设备资产清查工作，期间在I6000系统中对设备台账的操作频繁，涉及到的操作有查询、导出、查看资产设备信息，其中导出文件等操作会占用较大的内存。使得内存资源无法及时回收、占用率快速下降。
",
452,信息系统运行异常,不影响用户使用但系统有告警,8月6日0:00-3:30，国网福建电力所有系统监控间歇性异常。期间，系统URL探测间歇性异常，健康运行时长及在线用户数间歇性中断。,网络,设备日常损坏,水晶头,期间，系统URL间歇性中断，健康运行时长及在线用户数间歇性中断。故障原因为：ActiveMQ消息消费服务kpiin节点10.142.6.90服务器日志正常，节点10.142.6.95服务器日志间断性异常，日志报错连不上10.142.6.172/173Oralce数据库，异常期间10.142.6.95服务器与10.142.6.172/173Oralce数据库服务器之间通信异常。通过进一步排查，为10.142.6.95服务器与跳线的水晶头与配线架槽接触不良，引起服务器的网络通信时通时断，导致指标数据入库异常,0
453,信息系统运行异常,不影响用户使用但系统有告警,10月8日15:45，国网信通调度监控发现电能质量在线监测系统健康运行时长和在线用户数指标缺失，URL探测指标异常。17:00，经运检中心重启系统数据库后，系统指标恢复正常,数据库软件,运行维护不当,内存配置不合理,国庆节后业务量增长较快，且数据库的数据对象sequence cache值设置过小，以及大屏展现的定时任务执行频率过高，导致SGA内存出现抖动，数据库服务夯住，进而影响IMS指标以及系统正常运行。,重新启动数据库节点实例和各个应用节点后，系统指标和服务恢复正常。
454,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,4月17日21:25，国网信通调度监控发现中兴、装备、传媒、新源财务管控系统IMS健康运行时长及在线用户数指标缺失，URL探测正常。经运检中心清除部分日志，并依次重启IMS接口后，23:15至23:50，中兴、新源、装备、传媒指标陆续恢复正常。,应用软件,运行维护不当,文件系统使用率高,IMS接口服务所在的应用服务器的文件系统使用率100%，IMS接口无法写入日志，造成IMS指标中断。,经运检中心对文件系统扩容，并依次重启各单位IMS接口后，中兴、新源、装备、传媒指标陆续恢复正常。
455,信息系统运行异常,系统部分功能非计划不可用,3月8日23:00-3月9日00:55，国网技术学院财务管控系统监控状态异常。期间，系统在线用户数指标中断，URL探测异常，健康运行时长指标正常,数据库软件,软件设计缺陷,数据库,经查，故障原因为数据库BUG导致应用系统连接数据库超时，重启数据库后，指标恢复正常。,重启数据库
456,信息系统运行异常,系统部分功能非计划不可用,3月22日19:30-21:50，国网西藏电力统一权限系统监控状态异常。期间，健康运行时长指标中断，在线用户数及URL探测指标正常,数据库软件,运行维护不当,license过期,经查，由于数据库用户密码过期（180天未修改）造成数据库无法登陆，修改数据库用户密码，并修改数据库默认的密码管理方式有效期后，系统恢复正常。,修改数据库默认的密码管理方式有效期
457,信息系统运行异常,不影响用户使用但系统有告警,7月11日9:50-10:35，国网信通调度监控发现国网江西公司外网网站系统监控状态异常。期间，系统健康运行时长指标中断，URL探测指标正常。,应用软件,运行维护不当,代码逻辑缺陷,期间，系统健康运行时长指标中断，URL探测指标正常。经查，故障原因为外网网站系统升级后，系统健康运行时长指标的值由系统自带的5分钟定时器执行。运行机制为每隔5分钟，程序获取缓存中上一次健康运行时长的值，将该值（String类型）转换为int类型并加上300后保存到数据库。但是当缓存被清空或者过期失效时，接口程序获取的值为null值，由此会导致健康运行时长数据异常。外网网站接口程序存在缓存漏洞，此次漏洞导致发送null值给I6000，使得健康时长数据异常。,
458,信息系统运行异常,系统部分功能非计划不可用,5月21日07:30，国网信通调度监控发现规划计划系统外网应用无法访问，内网应用访问正常。18:28，经运检中心更换隔离装置后，外网访问恢复正常。,安全,软件设计缺陷,驱动不兼容,"为解决故障4月18日新配置的两台隔离装置版本过旧，与业务系统在用驱动版本不符，存在兼容性问题，导致了本次故障。
 隔离装置厂商反馈，应用程序驱动版本与隔离装置兼容性问题，不一定会立即影响业务，但在随着业务调用，特定代码和数据组合，有一定概率会触发兼容性问题，进而导致服务不可用。",替换为原先可以使用的隔离装置，调整程序数据库连接方式后，重启规划计划外网应用服务，系统使用恢复正常。
459,信息系统运行异常,不影响用户使用但系统有告警,7月6日05:05，国网信通调度监控发现数据交换系统IMS监控URL探测异常，健康运行时长及在线用户数探测正常。05:30，经调控中心重启所有应用节点后，系统恢复正常。,数据库软件,运行维护不当,SQL语句不合理,运监系统其中一张表及索引过大，导致SQL语句执行时间超长，造成请求weblogic反应时间超出默认值，从而引起资源排队请求的问题，导致业务调用缓慢，进而导致F5地址访问异常。,逐个重启应用节点后，告警恢复，系统恢复正常。
460,信息系统监控接口异常,网络非计划停运,8月3日16:45-18:05，国网湖北电力数据保护系统监控状态异常。期间，系统I6000健康运行时长指标中断，URL探测正常。,网络,无报告,未持续跟踪,期间，系统I6000健康运行时长指标中断，URL探测正常。经查故障原因初步分析为数据库虚IP连接异常原因在于提供虚IP的gateway网关服务出现异常，此原因还需要数据库厂商到现场排查。,
461,信息系统监控接口异常,IMS系统数据接口非计划中断,3月25日12:15，国网信通调度监控发现知识管理系统IMS健康运行时长及在线用户数指标异常，URL探测正常。,应用软件,运行维护不当,线程满,IMS服务器接入监控的业务系统多，导致总线负载过高、取数超时。,指标自动恢复正常。
462,信息系统运行异常,不影响用户使用但系统有告警,6月8日05:40，国网信通调度监控发现北京、蒙东、冀北、浙江、河南等部分网省的所有系统IMS健康运行时长及在线用户数指标异常，URL探测异常。,数据库软件,运行维护不当,数据表异常,ims数据库中，存放省公司服务器内存信息的表主键索引存在逻辑坏块，导致数据插入失败，造成IMS级联数据入库程序异常。,创建新表及索引后，系统插入数据恢复正常。
463,信息系统监控接口异常,不影响用户使用但系统有告警,7月22日06:35，国网上海电力所有系统I6000监控状态异常。期间，系统在线用户数及健康运行时长中断，URL探测异常。IMS监控正常，系统可访问,应用软件,运行维护不当,应用端数据库连接数满,经查，故障原因为监控指标通过级联客户端上传过程中，级联任务释放失败，导致系统处于超时状态，后续任务无法继续执行，造成指标监控异常。,0
464,信息系统运行异常,不影响用户使用但系统有告警,9月11日17:40起，国网信通调度监控发现一级部署经法系统IMS健康运行时长及在线用户数指标间歇性中断，URL探测正常。18:10，经运检中心重启应用节点后，系统指标恢复正常。,数据库软件,软件设计缺陷原因,数据表索引设计不合理,经查，故障原因为数据库中存在较多对全表扫描的SQL语句，影响数据库整体性能，导致IMS接口程序在执行取数SQL时，未能在设定时间内返回相关数据，出现指标闪断现象。9月13日已对相关数据库表创建索引，提高IMS接口程序执行效率，截至目前，系统指标正常。特此汇报。,
465,信息系统接口异常,系统告警但不影响用户使用,10月6日11:20，国网信通调度监控发现总部云终端系统IMS健康运行时长及在线用户数指标中断。11:55，经运检中心重启IMS接口服务后，系统监控指标恢复正常。,应用软件,软件设计缺陷,代码逻辑缺陷,总部云终端系统IMS接口所使用的会话机制调用过程中易阻塞程序，导致无法读取指标数据，进而导致IMS指标中断。,"重启总部云终端系统（10.1.161.7和10.1.161.8）上的IMS接口服务及Tomcat服务后，指标取数正常。
"
